departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2021-03-14,US DSR,PVG,USOAK,OCEAN,LCL,6249.990952380952,33.694809523809525,SC,28.761904761904763,N,Sort,NEW,others,42
2021-03-21,CN DSR,XMN,USOAK,OCEAN,LCL,6133.509677419354,34.649258064516125,SC,31.64516129032258,N,Sort,NEW,others,62
2021-03-28,EU DSR,XMN,USSEA,OCEAN,LCL,7172.604050632911,42.99950632911393,SC,36.075949367088604,N,Sort,NEW,others,79
2021-04-04,CN DSR,SZX,USSAV,OCEAN,LCL,6127.766440677966,31.30137288135593,SC,32.52542372881356,N,Sort,NEW,others,59
2021-04-11,CN DSR,PVG,USSEA,OCEAN,LCL,8318.397164179105,45.52510447761194,SC,38.701492537313435,N,Sort,NEW,others,67
2021-04-18,US DSR,XMN,USOAK,OCEAN,LCL,7863.507638888889,42.991930555555555,SC,37.541666666666664,N,Sort,NEW,others,72
2021-04-25,US DSR,HKG,USOAK,OCEAN,LCL,6030.395833333333,32.78897916666667,SC,37.395833333333336,N,Sort,NEW,others,48
2021-05-02,CN DSR,PVG,USSAV,OCEAN,LCL,7479.271447368421,37.87113157894737,SC,35.51315789473684,N,Sort,NEW,others,76
2021-05-09,CN DSR,PVG,USSEA,OCEAN,LCL,5585.793855421687,32.27098795180723,SC,34.10843373493976,N,Sort,NEW,others,83
2021-05-16,CN DSR,PVG,USSEA,OCEAN,LCL,6628.72737704918,34.002081967213115,SC,32.75409836065574,N,Sort,NEW,others,61
2021-05-23,US DSR,PVG,USSAV,OCEAN,LCL,5616.478541666666,32.97620833333333,SC,31.854166666666668,N,Sort,NEW,others,48
2021-05-30,US DSR,HKG,USSAV,OCEAN,LCL,8396.83,43.42479069767442,SC,39.30232558139535,N,Sort,NEW,others,43
2021-06-06,US DSR,HKG,USSAV,OCEAN,LCL,5543.848421052631,28.831236842105262,SC,25.736842105263158,N,Sort,NEW,others,38
2021-06-13,US DSR,PVG,USOAK,OCEAN,LCL,4794.751470588235,27.21955882352941,SC,26.88235294117647,N,Sort,NEW,others,34
2021-06-20,US DSR,HKG,USSAV,OCEAN,LCL,7213.744090909091,32.083636363636366,SC,32.20454545454545,N,Sort,NEW,others,44
2021-06-27,US DSR,HKG,USSAV,OCEAN,LCL,6157.024637681159,30.084478260869567,SC,35.68115942028985,N,Sort,NEW,others,69
2021-07-04,CN DSR,PVG,USSAV,OCEAN,LCL,6131.416511627906,32.411883720930234,SC,36.395348837209305,N,Sort,NEW,others,43
2021-07-11,US DSR,PVG,USSEA,OCEAN,LCL,5271.691176470588,27.70830882352941,SC,30.176470588235293,N,Sort,NEW,others,68
2021-07-18,EU DSR,HKG,USSAV,OCEAN,LCL,6030.391904761905,31.46140476190476,SC,33.38095238095238,N,Sort,NEW,others,42
2021-07-25,US DSR,PVG,USTIW,OCEAN,LCL,6488.798750000001,30.464166666666667,SC,41.5,N,Sort,NEW,others,48
2021-08-01,US DSR,SZX,USSAV,OCEAN,LCL,3228.8352,19.993119999999998,SC,31.64,N,Sort,NEW,others,50
2021-08-08,US DSR,SZX,USSEA,OCEAN,LCL,4632.777321428572,25.388607142857143,SC,31.107142857142858,N,Sort,NEW,others,56
2021-08-15,US DSR,XMN,USSAV,OCEAN,LCL,4230.723333333333,26.999052631578945,SC,35.666666666666664,N,Sort,NEW,others,57
2021-08-22,CN DSR,SZX,USSEA,OCEAN,LCL,5226.185454545455,31.259870129870134,SC,28.675324675324674,N,Sort,NEW,others,77
2021-08-29,US DSR,XMN,USNYC,OCEAN,LCL,3483.1908064516133,18.24783870967742,SC,35.45161290322581,N,Sort,NEW,others,62
2021-09-05,CN DSR,SZX,USTIW,OCEAN,LCL,4818.085396825397,24.73834920634921,SC,32.523809523809526,N,Sort,NEW,others,63
2021-09-12,EU DSR,SZX,USTIW,OCEAN,LCL,5531.801884057972,30.81453623188406,SC,36.10144927536232,N,Sort,NEW,others,69
2021-09-19,US DSR,SZX,USTIW,OCEAN,LCL,6021.031466666666,33.55990666666666,SC,38.24,N,Sort,NEW,others,75
2021-09-26,EU DSR,SZX,USSAV,OCEAN,LCL,5668.892242990654,33.85328037383177,SC,38.60747663551402,N,Sort,NEW,others,107
2021-10-03,US DSR,SZX,USLGB,OCEAN,LCL,4498.140675675676,27.623216216216214,SC,39.810810810810814,N,Sort,NEW,others,74
2021-10-10,US DSR,HKG,USNYC,OCEAN,LCL,5133.0215384615385,36.523346153846155,SC,38.44230769230769,N,Sort,NEW,others,52
2021-10-17,US DSR,SZX,USSEA,OCEAN,LCL,4301.373275862069,26.071965517241377,SC,32.172413793103445,N,Sort,NEW,others,58
2021-10-24,US DSR,SZX,USNYC,OCEAN,LCL,6853.292962962963,36.726388888888884,SC,33.2962962962963,N,Sort,NEW,others,54
2021-10-31,US DSR,SZX,USSEA,OCEAN,LCL,6344.341269841269,37.2301746031746,SC,33.38095238095238,N,Sort,NEW,others,63
2021-11-07,CN DSR,XMN,USOAK,OCEAN,LCL,6203.4459375,34.50453125,SC,33.90625,N,Sort,NEW,others,64
2021-11-14,CN DSR,XMN,USLGB,OCEAN,LCL,5134.224705882353,29.085862745098037,SC,30.352941176470587,N,Sort,NEW,others,51
2021-11-21,US DSR,XMN,USSEA,OCEAN,LCL,5468.492380952381,29.183190476190475,SC,20.357142857142858,N,Sort,NEW,others,42
2021-11-28,US DSR,PVG,USLGB,OCEAN,LCL,5898.848571428572,33.44164285714286,SC,20.25,N,Sort,NEW,others,28
2021-12-05,CN DSR,HKG,USLAX,OCEAN,LCL,7256.541,35.8511,SC,18.5,N,Sort,NEW,others,20
2021-12-12,CN DSR,PVG,USLAX,OCEAN,LCL,1378.8288888888887,6.636666666666667,SC,6.111111111111111,N,Sort,NEW,others,9
2021-12-19,US DSR,PVG,LHR,OCEAN,LCL,1357.03125,6.580500000000001,SC,7.0,N,Sort,NEW,others,8
