departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2021-02-07,CN DSR,CNYTN,USSAV,OCEAN,LCL,7217.5,38.319833333333335,AGL,39.166666666666664,N,Sort,NEW,gl_furniture,6
2021-02-14,CN DSR,SZX,USSEA,OCEAN,FCL,11417.635,62.65375,SC,36.125,N,Sort,NEW,gl_furniture,8
2021-02-21,CN DSR,CNYTN,USLGB,OCEAN,LCL,11160.7,52.50940000000001,SC,49.8,N,Sort,NEW,gl_furniture,5
2021-02-28,CN DSR,HKG,USLGB,OCEAN,LCL,17047.85714285714,113.36,SC,23.428571428571427,N,Sort,NEW,gl_furniture,7
2021-03-07,CN DSR,CNYTN,USSEA,OCEAN,FCL,14523.5,62.3125,AGL,41.5,N,Sort,NEW,gl_furniture,4
2021-03-14,CN DSR,XMN,USLAX,OCEAN,FCL,8019.8,53.032,AGL,33.6,N,Sort,NEW,gl_furniture,5
2021-03-21,US DSR,CNYTN,USLAX,OCEAN,LCL,8052.661666666667,40.20583333333334,SC,53.333333333333336,N,Sort,NEW,gl_furniture,6
2021-03-28,CN DSR,CNYTN,USSEA,OCEAN,LCL,9366.91,55.04260000000001,AGL,46.0,N,Sort,NEW,gl_furniture,10
2021-04-04,CN DSR,CNYTN,USSTL,OCEAN,LCL,11606.753846153846,55.761230769230764,AGL,42.84615384615385,N,Sort,NEW,gl_furniture,13
2021-04-11,CN DSR,CNYTN,USOAK,OCEAN,LCL,11428.8375,57.85625,SC,43.625,N,Sort,NEW,gl_furniture,8
2021-04-18,CN DSR,CNYTN,USLAX,OCEAN,LCL,14260.6875,65.872625,SC,51.375,N,Sort,NEW,gl_furniture,8
2021-04-25,CN DSR,HKG,USOAK,OCEAN,LCL,8690.5,33.88125,SC,34.0,N,Sort,NEW,gl_furniture,4
2021-05-02,US DSR,CNYTN,USOAK,OCEAN,LCL,12211.630769230771,58.52084615384615,SC,49.38461538461539,N,Sort,NEW,gl_furniture,13
2021-05-09,CN DSR,CNYTN,USSAV,OCEAN,LCL,11994.333333333334,53.552166666666665,SC,40.5,N,Sort,NEW,gl_furniture,6
